config	trial	R_a	K_b	R_b	Rdone_b	S	S2	P	W	newer_at_S2	discarded	player_pid	rc	killed_by_sig	alive_s	player_log_sig	audible_s	p_start_ts	p_end_ts	hook_b_target	hook_b_result	worker_claim_target	worker_claim_result	S_b	ordering
C3_adversarial	12	1787684441.571910033	1787684443.026561489	1787684443.140784366	1787684443.153937381	1787684441.586297	1787684442.592782	1787684443.600971	1787684443.602256	0	0	48563	-30	30	0.0056	-	0(never_started)	-	-	48477	esrch	48563	sent	1787684443.603046	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	1	1787684455.660877241	1787684457.111501026	1787684457.237867834	1787684457.252405683	1787684455.671427	1787684456.679276	1787684457.685630	1787684457.687442	0	0	48722	0	0	2.5737	0	2.5038	1787684457.742382	1787684460.246150	48675	esrch	none	disabled	1787684457.689250	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	2	1787684463.414792762	1787684464.879190395	1787684464.998194986	1787684465.009194540	1787684463.432041	1787684464.438464	1787684465.447931	1787684465.451741	0	0	48812	0	0	2.5696	0	2.5029	1787684465.498942	1787684468.001815	48743	esrch	none	disabled	1787684465.453612	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	3	1787684471.172940246	1787684472.615476062	1787684472.733032693	1787684472.741790119	1787684471.183887	1787684472.190463	1787684473.207531	1787684473.210534	0	0	48889	0	0	2.5723	0	2.5017	1787684473.257594	1787684475.759343	48828	esrch	none	disabled	1787684473.212735	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	4	1787684478.893471270	1787684480.333232959	1787684480.456401179	1787684480.473205364	1787684478.901411	1787684479.908192	1787684480.917083	1787684480.918358	0	0	48974	0	0	2.5806	0	2.5014	1787684480.981012	1787684483.482390	48911	esrch	none	disabled	1787684480.919137	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	5	1787684486.629691687	1787684488.095179946	1787684488.223876465	1787684488.234313476	1787684486.644915	1787684487.652331	1787684488.665194	1787684488.666264	0	0	49077	0	0	2.5826	0	2.5011	1787684488.732172	1787684491.233303	49017	esrch	none	disabled	1787684488.667030	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	6	1787684494.400023359	1787684495.867583883	1787684495.997669632	1787684496.010105473	1787684494.428000	1787684495.435072	1787684496.464457	1787684496.466042	0	0	49164	0	0	2.5962	0	2.5018	1787684496.527672	1787684499.029486	49105	esrch	none	disabled	1787684496.467317	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	7	1787684502.177107676	1787684503.628024104	1787684503.753936041	1787684503.764623092	1787684502.188337	1787684503.195327	1787684504.206261	1787684504.207712	0	0	49230	0	0	2.5849	0	2.5011	1787684504.279617	1787684506.780738	49166	esrch	none	disabled	1787684504.208886	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	8	1787684509.936158758	1787684511.389508569	1787684511.511761559	1787684511.523258278	1787684509.951360	1787684510.957906	1787684511.972897	1787684511.975059	0	0	49312	0	0	2.5901	0	2.5015	1787684512.038130	1787684514.539614	49248	esrch	none	disabled	1787684511.976327	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	9	1787684517.713039831	1787684519.168120291	1787684519.291121206	1787684519.303760760	1787684517.729412	1787684518.736758	1787684519.743119	1787684519.744451	0	0	49371	0	0	2.5764	0	2.5038	1787684519.805849	1787684522.309666	49329	esrch	none	disabled	1787684519.745932	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	10	1787684525.456492171	1787684526.903106520	1787684527.024221356	1787684527.037215119	1787684525.466151	1787684526.472789	1787684527.486143	1787684527.488565	0	0	49455	0	0	2.5785	0	2.5007	1787684527.548701	1787684530.049431	49391	esrch	none	disabled	1787684527.491103	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	11	1787684533.194900289	1787684534.643342513	1787684534.772693402	1787684534.788905586	1787684533.207452	1787684534.219062	1787684535.230405	1787684535.231790	0	0	49559	0	0	2.5855	0	2.5058	1787684535.295009	1787684537.800817	49472	esrch	none	disabled	1787684535.232528	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	12	1787684540.957600018	1787684542.412017230	1787684542.539803744	1787684542.554288219	1787684540.967511	1787684541.979542	1787684542.988645	1787684542.989778	0	0	49625	0	0	2.5835	0	2.5084	1787684543.049347	1787684545.557757	49563	esrch	none	disabled	1787684542.990848	R<S2<R_b<P<W (adversarial)
C5_norecheck	1	1787684555.143975853	1787684556.610879224	1787684556.736802030	1787684556.748884002	1787684555.161182	1787684556.167581	1787684557.181180	1787684557.183197	skipped	0	49815	-30	30	0.0065	-	0(never_started)	-	-	49757	esrch	49815	sent	1787684557.184041	R<S2<R_b<P<W (adversarial)
C5_norecheck	2	1787684562.923792345	1787684564.370037908	1787684564.497431550	1787684564.511430982	1787684562.932541	1787684563.950320	1787684564.962963	1787684564.963572	skipped	0	49883	-30	30	0.0045	-	0(never_started)	-	-	49831	esrch	49883	sent	1787684564.964007	R<S2<R_b<P<W (adversarial)
C5_norecheck	3	1787684570.701867940	1787684572.172966618	1787684572.302390054	1787684572.313072232	1787684570.715879	1787684571.717370	1787684572.731529	1787684572.732159	skipped	0	49959	-30	30	0.0053	-	0(never_started)	-	-	49901	esrch	49959	sent	1787684572.732654	R<S2<R_b<P<W (adversarial)
C5_norecheck	4	1787684578.485091309	1787684579.937072216	1787684580.058896894	1787684580.067245945	1787684578.496481	1787684579.507507	1787684580.521435	1787684580.522866	skipped	0	50058	-30	30	0.0068	-	0(never_started)	-	-	49976	esrch	50058	sent	1787684580.523875	R<S2<R_b<P<W (adversarial)
C5_norecheck	5	1787684586.237461610	1787684587.696184527	1787684587.825363963	1787684587.838022685	1787684586.249973	1787684587.261871	1787684588.272106	1787684588.273078	skipped	0	50123	-30	30	0.0105	-	0(never_started)	-	-	50079	esrch	50123	sent	1787684588.273817	R<S2<R_b<P<W (adversarial)
C5_norecheck	6	1787684593.993886505	1787684595.453267798	1787684595.571363514	1787684595.582562276	1787684594.002035	1787684595.013971	1787684596.024112	1787684596.025440	skipped	0	50205	-30	30	0.0082	-	0(never_started)	-	-	50139	esrch	50205	sent	1787684596.026940	R<S2<R_b<P<W (adversarial)
C5_norecheck	7	1787684601.724866127	1787684603.163029606	1787684603.283002781	1787684603.292845667	1787684601.733416	1787684602.742201	1787684603.754336	1787684603.757794	skipped	0	50275	-30	30	0.0132	-	0(never_started)	-	-	50223	esrch	50275	sent	1787684603.760252	R<S2<R_b<P<W (adversarial)
C5_norecheck	8	1787684609.454296497	1787684610.910201370	1787684611.025555416	1787684611.035583385	1787684609.465211	1787684610.472791	1787684611.486500	1787684611.487376	skipped	0	50376	-30	30	0.0061	-	0(never_started)	-	-	50297	esrch	50376	sent	1787684611.488282	R<S2<R_b<P<W (adversarial)
C5_norecheck	9	1787684617.195933840	1787684618.652116713	1787684618.786229488	1787684618.796074707	1787684617.205657	1787684618.217786	1787684619.231794	1787684619.233631	skipped	0	50461	-30	30	0.0085	-	0(never_started)	-	-	50398	esrch	50461	sent	1787684619.235062	R<S2<R_b<P<W (adversarial)
C5_norecheck	10	1787684624.957478954	1787684626.411488618	1787684626.526279329	1787684626.536542007	1787684624.969940	1787684625.982628	1787684626.990516	1787684626.991996	skipped	0	50524	-30	30	0.0077	-	0(never_started)	-	-	50477	esrch	50524	sent	1787684626.992885	R<S2<R_b<P<W (adversarial)
C5_norecheck	11	1787684632.695870294	1787684634.161535054	1787684634.287503069	1787684634.300111999	1787684632.707719	1787684633.719624	1787684634.724594	1787684634.726258	skipped	0	50607	-30	30	0.0074	-	0(never_started)	-	-	50545	esrch	50607	sent	1787684634.727544	R<S2<R_b<P<W (adversarial)
C5_norecheck	12	1787684640.457338075	1787684641.906089151	1787684642.028100495	1787684642.040586634	1787684640.467311	1787684641.479146	1787684642.493931	1787684642.496153	skipped	0	50671	-30	30	0.0183	-	0(never_started)	-	-	50624	esrch	50671	sent	1787684642.498434	R<S2<R_b<P<W (adversarial)
C6_handle	1	1787684654.643839108	1787684656.094633559	1787684656.227483416	1787684656.240136680	1787684654.656574	1787684655.662235	1787684656.676232	1787684656.677045	0	0	50830	-30	30	0.0063	-	0(never_started)	-	-	50783	esrch	50830	sent	1787684656.678100	R<S2<R_b<P<W (adversarial)
C6_handle	2	1787684662.406636807	1787684663.862496932	1787684663.985985695	1787684663.995511914	1787684662.416382	1787684663.427612	1787684664.445996	1787684664.455733	0	0	50914	-30	30	0.0206	-	0(never_started)	-	-	50846	esrch	50914	sent	1787684664.457886	R<S2<R_b<P<W (adversarial)
C6_handle	3	1787684670.157447328	1787684671.628255760	1787684671.765198330	1787684671.772857922	1787684670.170218	1787684671.181634	1787684672.191951	1787684672.194425	0	0	51000	-30	30	0.0124	-	0(never_started)	-	-	50931	esrch	51000	sent	1787684672.198748	R<S2<R_b<P<W (adversarial)
C6_handle	4	1787684677.958510988	1787684679.409653232	1787684679.533360828	1787684679.547354260	1787684677.971803	1787684678.980658	1787684679.983629	1787684679.984208	0	0	51084	-30	30	0.0036	-	0(never_started)	-	-	51022	esrch	51084	sent	1787684679.984760	R<S2<R_b<P<W (adversarial)
C6_handle	5	1787684685.702600001	1787684687.150209950	1787684687.283434598	1787684687.298988199	1787684685.716926	1787684686.728301	1787684687.744368	1787684687.747077	0	0	51160	-30	30	0.0132	-	0(never_started)	-	-	51102	esrch	51160	sent	1787684687.749912	R<S2<R_b<P<W (adversarial)
C6_handle	6	1787684693.476992173	1787684694.930572544	1787684695.058584145	1787684695.073829287	1787684693.485489	1787684694.496491	1787684695.508244	1787684695.509411	0	0	51238	-30	30	0.0054	-	0(never_started)	-	-	51178	esrch	51238	sent	1787684695.510042	R<S2<R_b<P<W (adversarial)
C6_handle	7	1787684701.240055706	1787684702.688801697	1787684702.817760716	1787684702.829720104	1787684701.249790	1787684702.261788	1787684703.278434	1787684703.279892	0	0	51316	-30	30	0.0122	-	0(never_started)	-	-	51254	esrch	51316	sent	1787684703.281241	R<S2<R_b<P<W (adversarial)
C6_handle	8	1787684708.981692133	1787684710.437593423	1787684710.562283646	1787684710.573238075	1787684708.989789	1787684710.000860	1787684711.009021	1787684711.009997	0	0	51377	-30	30	0.0046	-	0(never_started)	-	-	51336	esrch	51377	sent	1787684711.010674	R<S2<R_b<P<W (adversarial)
C6_handle	9	1787684716.736586866	1787684718.177258307	1787684718.307431284	1787684718.319841256	1787684716.747611	1787684717.759884	1787684718.770892	1787684718.771697	0	0	51452	-30	30	0.0036	-	0(never_started)	-	-	51393	esrch	51452	sent	1787684718.772130	R<S2<R_b<P<W (adversarial)
