# claudish audition verdicts
# page generated 2026-08-17 09:26 UTC
# exported 2026-08-25T09:27:14.438Z
# blinding is currently ON; the per-row blinding column is the state when THAT verdict was recorded
# progress: 67/67 pairs, 4/4 voice items, 27/27 length items
# text_identical / phonemes_identical / wav_identical were measured at generation time and are NOT shown on the page while a pair is blinded

section	axis	item	kind	chars_in	pair	side_a	side_b	reference_side	blinding	verdict	preferred_variant	text_identical	phonemes_identical	wav_identical	phonemes_a_b	note	judged_at
sanitizer	axis7-code	s07	synthetic	250	s07:cb-long	cb-long	base	b	blind	B is better	base	false	false	false	233/382		2026-08-25T08:40:00.524Z
sanitizer	axis7-code	s07	synthetic	250	s07:cb-count	base	cb-count	a	blind	B is better	cb-count	false	false	false	382/227		2026-08-25T08:40:19.860Z
sanitizer	axis7-code	s07	synthetic	250	s07:cb-short	base	cb-short	a	blind	B is better	cb-short	false	false	false	382/215		2026-08-25T08:40:28.917Z
sanitizer	axis7-code	s07	synthetic	250	s07:cb-silent	base	cb-silent	a	blind	A is better	base	false	false	false	382/203		2026-08-25T08:40:33.638Z
sanitizer	axis7-code	s39	synthetic	483	s39:cb-long	cb-long	base	b	blind	A is better	cb-long	false	false	false	270/652		2026-08-25T08:41:03.369Z
sanitizer	axis7-code	s39	synthetic	483	s39:cb-count	cb-count	base	b	blind	A is better	cb-count	false	false	false	265/652		2026-08-25T08:41:17.827Z
sanitizer	axis7-code	s39	synthetic	483	s39:cb-short	cb-short	base	b	blind	A is better	cb-short	false	false	false	250/652		2026-08-25T08:41:37.973Z
sanitizer	axis7-code	s39	synthetic	483	s39:cb-silent	cb-silent	base	b	blind	B is better	base	false	false	false	238/652		2026-08-25T08:42:04.903Z
sanitizer	axis7-code	s40	synthetic	294	s40:cb-long	cb-long	base	b	blind	A is better	cb-long	false	false	false	235/376		2026-08-25T08:42:35.554Z
sanitizer	axis7-code	s40	synthetic	294	s40:cb-count	cb-count	base	b	blind	A is better	cb-count	false	false	false	230/376		2026-08-25T08:42:41.901Z
sanitizer	axis7-code	s40	synthetic	294	s40:cb-short	base	cb-short	a	blind	B is better	cb-short	false	false	false	376/216		2026-08-25T08:42:46.363Z
sanitizer	axis7-code	s40	synthetic	294	s40:cb-silent	base	cb-silent	a	blind	A is better	base	false	false	false	376/204		2026-08-25T08:42:54.911Z

section	item	chars_in	blinding	winner_voice	eliminated_voices	note	judged_at
voice	r03	334	blind	bf_emma	af_nicole af_bella af_heart am_michael		2026-08-25T09:09:05.662Z
voice	r04	369	blind	bf_emma	af_nicole		2026-08-25T09:09:02.480Z
voice	r06	611	blind	bf_emma			2026-08-25T09:09:36.815Z
voice	r11	2370	blind	bf_emma			2026-08-25T09:10:27.291Z

section	group	item	chars_in	audio_s	verdict	note	judged_at
length	ACK	ack01	23	1.45	not worth speaking		2026-08-25T09:13:53.007Z
length	ACK	ack02	50	2.82	not worth speaking		2026-08-25T09:13:51.871Z
length	ACK	ack03	61	3.37	not worth speaking		2026-08-25T09:13:50.863Z
length	ACK	ack04	74	3.58	not worth speaking		2026-08-25T09:13:49.866Z
length	ACK	ack05	90	5.21	not worth speaking		2026-08-25T09:13:48.673Z
length	ACK	ack06	130	8.11	not worth speaking		2026-08-25T09:13:48.022Z
length	ACK	ack07	177	10.50	worth speaking		2026-08-25T09:12:49.759Z
length	ACK	ack08	240	15.62	worth speaking		2026-08-25T09:12:50.415Z
length	CORPUS	fct01	40	2.50	not worth speaking		2026-08-25T09:14:09.092Z
length	CORPUS	s09	48	4.14	not worth speaking		2026-08-25T09:14:08.259Z
length	CORPUS	fct03	95	5.38	not worth speaking		2026-08-25T09:14:16.421Z
length	CORPUS	fct02	71	5.40	not worth speaking		2026-08-25T09:14:24.859Z
length	CORPUS	fct04	100	7.91	not worth speaking		2026-08-25T09:14:31.593Z
length	CORPUS	s21	122	12.01	unsure		2026-08-25T09:14:39.555Z
length	CORPUS	fct05	115	12.39	not worth speaking		2026-08-25T09:14:59.081Z
length	CORPUS	fct07	147	13.25	not worth speaking		2026-08-25T09:15:31.407Z
length	CORPUS	s32	240	13.40	unsure		2026-08-25T09:15:50.079Z
length	CORPUS	s15	203	13.74	worth speaking		2026-08-25T09:16:06.438Z
length	CORPUS	s33	244	14.02	unsure		2026-08-25T09:16:25.835Z
length	CORPUS	fct06	147	14.78	not worth speaking	I feel like I'm selecting here for whether it's a status update or a final message from claude. From these small bits it feels like it would only make sense to verbalize the final message, but maybe if there are way longer updates that would also make sense.	2026-08-25T09:16:58.245Z
length	CORPUS	fct08	228	15.87	not worth speaking		2026-08-25T09:19:24.950Z
length	PAIR	raw-r01	241	15.21	not worth speaking		2026-08-25T09:26:08.280Z
length	PAIR	rew-r01	268	16.51	not worth speaking		2026-08-25T09:26:26.774Z
length	PAIR	rew-r03	334	20.80	not worth speaking		2026-08-25T09:26:51.134Z
length	PAIR	raw-r03	316	21.35	not worth speaking		2026-08-25T09:27:01.039Z
length	PAIR	raw-r06	532	30.93	worth speaking		2026-08-25T09:27:09.062Z
length	PAIR	rew-r06	611	34.73	worth speaking		2026-08-25T09:27:14.438Z
